Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population
number_of_years_of_education,diversity,health_insurance_public_rate,health_insurance_none_rate,age_median,age_18_24_rate,age_25_34_rate,age_more_than_85_rate,age_75_84_rate,age_35_44_rate,age_45_54_rate,age_65_74_rate,age_55_64_rate,age_10_14_rate,age_15_17_rate,age_5_9_rate,household_type_family_rate,dropout_16_19_inschool_rate,household_count,average_household_size,housing_unit_count,housing_unit_occupied_count,housing_unit_median_value,housing_unit_median_gross_rent,education_less_than_high_school_rate,education_high_school_graduate_rate,education_college_rate,education_bachelor_rate,education_master_rate,education_professional_school_rate,education_doctoral_rate,race_white_rate,race_black_africa_rate,race_indian_alaska_rate,race_asian_rate,race_islander_rate,race_other_rate,race_two_more_rate,population,population_density
13.51881331,0.335930669,0.261947355,0.079223102,40.2,0.073514851,0.102722772,0.013861386,0.038118812,0.176485149,0.141584158,0.09529703,0.116089109,0.096534653,0.051732673,0.052227723,0.761348006,0.936026936,1454,2.68,1550,1454,145800,712,0.10130246,0.375542692,0.220332851,0.205861071,0.070911722,0.013386397,0.012662808,0.79950495,0.15519802,0,0.021287129,0,0.007920792,0.016089109,4040,427.8575
11.84252632,0.109678274,0.416038589,0.191739524,43.8,0.05456738,0.124208622,0.028640338,0.046126017,0.097678625,0.160687368,0.112752487,0.145914983,0.052155562,0.033162496,0.097678625,0.653515065,0.924369748,1394,2.38,1533,1394,65400,486,0.241684211,0.477473684,0.189473684,0.060210526,0.030315789,0,0.000842105,0.942719325,0.037684655,0.00874284,0.000602954,0,0,0.010250226,3317,21.74273
11.93516905,0.512049566,0.540606329,0.135206904,34.9,0.098414078,0.125135781,0.027373452,0.044101673,0.112535303,0.130784271,0.054529655,0.128829025,0.05713665,0.049098414,0.07429937,0.664519592,0.89298893,1863,2.43,2174,1863,64200,676,0.209132102,0.497734402,0.237713489,0.018124782,0.037295225,0,0,0.507929611,0.479469911,0,0.004344992,0,0.001520747,0.006734738,4603,712.0327
11.67097264,0.012127443,0.505268996,0.200776484,47.6,0.064337216,0.095951192,0.024403771,0.061009429,0.09484193,0.168607876,0.130892956,0.154187465,0.072102052,0.042151969,0.054908486,0.643693108,0.884615385,769,2.34,819,769,64400,635,0.221884498,0.560790274,0.183890578,0.012917933,0.015197568,0.005319149,0,0.993899057,0,0,0,0,0,0.006100943,1803,16.9861
12.50408998,0.492333817,0.496778812,0.125626342,43.2,0.086377603,0.078525094,0.042676681,0.044042335,0.110276545,0.149197678,0.109252305,0.133834073,0.086377603,0.028337316,0.064527142,0.544489796,1,1225,2.27,1642,1225,56700,568,0.194785276,0.41002045,0.224437628,0.122699387,0.029652352,0.012781186,0.005623722,0.632639126,0.325025606,0,0,0,0,0.042335268,2929,129.3029
11.82395498,0.138538316,0.482416336,0.138400454,46.2,0.080260919,0.089903573,0.015598412,0.064946115,0.094724901,0.173000567,0.10947249,0.15796937,0.064946115,0.030913216,0.055019853,0.608009709,0.931578947,1648,2.14,1847,1648,59800,523,0.237540193,0.468247588,0.214630225,0.066318328,0.013263666,0,0,0.926545661,0.04849688,0,0,0,0,0.024957459,3526,20.29117
12.4370434,0.431009925,0.471875,0.179545455,37.1,0.087738721,0.128978688,0.040963188,0.044561306,0.089122613,0.127871575,0.103238306,0.109327429,0.057569887,0.048436203,0.062275118,0.587468983,0.919786096,1612,2.18,1864,1612,81700,547,0.174903309,0.470562957,0.201547056,0.095401805,0.055436184,0,0.002148689,0.714088016,0.241627456,0.018267368,0.010517575,0,0,0.015499585,3613,234.6014
11.61775805,0.344442975,0.495457986,0.104844815,38,0.079112819,0.227733147,0.00523926,0.027942717,0.197345442,0.134998254,0.07038072,0.123122599,0.041914076,0.029863779,0.037198743,0.714285714,0.803652968,1085,2.44,1413,1085,40300,514,0.272586016,0.423307436,0.26481687,0.02863485,0.010654828,0,0,0.788159273,0.184247293,0.003842124,0,0,0.019559902,0.004191408,5726,18.12199
12.1862811,0.042836825,0.444706994,0.175803403,44.7,0.085066163,0.072778828,0.025992439,0.040642722,0.132797732,0.151701323,0.131379962,0.147448015,0.094990548,0.029773157,0.052457467,0.720843672,0.85,806,2.63,985,806,62600,542,0.205783457,0.46133154,0.218560861,0.059852051,0.052454607,0.002017485,0,0.97826087,0,0.007561437,0,0,0.004725898,0.009451796,2116,12.50796
12.08002646,0.015283203,0.402870323,0.171194259,48.1,0.035366479,0.081496668,0.008200923,0.07227063,0.146078934,0.174269605,0.103536648,0.189133778,0.084059457,0.052280882,0.03946694,0.710526316,1,836,2.33,1095,836,71100,760,0.240740741,0.414021164,0.225529101,0.083994709,0.021825397,0.011243386,0.002645503,0.992311635,0.000512558,0,0,0,0.001537673,0.005638134,1951,9.032327
12.0699623,0,0.524548622,0.101362053,49.1,0.035159962,0.07507127,0.038327526,0.069369655,0.132720938,0.169781438,0.132404181,0.138422553,0.075388027,0.052581565,0.04592968,0.630769231,1,1495,2.11,1799,1495,49500,507,0.235023041,0.453288647,0.189777964,0.07875995,0.024298282,0.011311269,0.007540846,1,0,0,0,0,0,0,3157,211.5463
